,_id,threshold_setting,prev_tx_count_in,prev_mass_out,prev_value_in,epoch,epoch_time_stamp,prev_mass_in,prev_value_out,prev_tx_count_out
159,57ff233b9335c039eb7f1deb,50.0,23,0,24138112901,159,1476338491.318368,0,20714128877,23
160,57ff234a9335c039eb7f1dee,50.0,39,0,30944257405,160,1476338506.319525,0,30781230517,39
161,57ff23599335c039eb7f1df1,50.0,27,0,12562677694,161,1476338521.322514,0,12552878368,27
162,57ff23689335c039eb7f1df3,50.0,68,0,10016146638,162,1476338536.324683,0,9301987886,68
163,57ff23779335c039eb7f1df5,50.0,28,0,1272355250,163,1476338551.3274539,0,1201523251,28
164,57ff23869335c039eb7f1df7,50.0,35,0,14205884373,164,1476338566.32847,0,6137422019,35
165,57ff23959335c039eb7f1df9,50.0,31,0,4252651111,165,1476338581.330837,0,3418843992,31
166,57ff23a49335c039eb7f1dfb,50.0,37,0,5874760615,166,1476338596.33323,0,4450326144,37
167,57ff23b39335c039eb7f1dfd,50.0,26,0,10631607379,167,1476338611.336106,0,10005585780,26
168,57ff23c29335c039eb7f1dff,50.0,37,0,15508713152,168,1476338626.3402052,0,13518076243,37
169,57ff23d19335c039eb7f1e02,50.0,22,0,9744156374,169,1476338641.342715,0,9361505644,22
170,57ff23e09335c039eb7f1e05,50.0,45,0,14575600489,170,1476338656.343917,0,14530130469,45
171,57ff23ef9335c039eb7f1e07,50.0,43,0,10753821714,171,1476338671.34699,0,9795997634,43
172,57ff23fe9335c039eb7f1e09,50.0,28,0,3803315954,172,1476338686.3497438,0,2736506917,28
173,57ff240d9335c039eb7f1e0c,50.0,29,0,25707828251,173,1476338701.352835,0,25243439672,29
174,57ff241c9335c039eb7f1e0e,50.0,30,0,7605066287,174,1476338716.355163,0,4357044070,30
175,57ff242b9335c039eb7f1e10,50.0,44,0,7098329508,175,1476338731.35634,0,4304477455,44
176,57ff243a9335c039eb7f1e12,50.0,31,0,1052517417,176,1476338746.358849,0,780414676,31
177,57ff24499335c039eb7f1e15,50.0,27,0,52522542387,177,1476338761.3609722,0,8372885408,27
178,57ff24589335c039eb7f1e1a,50.0,69,0,43717259072,178,1476338776.363195,0,42674722946,69
179,57ff24679335c039eb7f1e1e,50.0,33,0,137244003505,179,1476338791.3644118,0,131526741899,33
180,57ff24769335c039eb7f1e20,50.0,42,0,2986802599,180,1476338806.3671188,0,919956840,42
181,57ff24859335c039eb7f1e22,50.0,22,0,4115731770,181,1476338821.371131,0,3600853695,22
182,57ff24949335c039eb7f1e25,50.0,23,0,10219511920,182,1476338836.374407,0,10101836867,23
183,57ff24a39335c039eb7f1e27,50.0,40,0,3936012709,183,1476338851.378405,0,2294358854,40
184,57ff24b29335c039eb7f1e2a,50.0,26,0,13056448248,184,1476338866.381443,0,12729111015,26
185,57ff24c19335c039eb7f1e2c,50.0,28,0,2528980215,185,1476338881.382493,0,1514864495,28
186,57ff24d09335c039eb7f1e2e,50.0,31,0,11226628793,186,1476338896.384915,0,11209096066,31
187,57ff24df9335c039eb7f1e30,50.0,28,0,3631728779,187,1476338911.386127,0,3308804247,28
188,57ff24ee9335c039eb7f1e33,50.0,27,0,95297275268,188,1476338926.3872972,0,53577623678,27
